feature_set,window_size,n_components,clipping_threshold,max_depth,min_samples_leaf,min_samples_split,max_features,mean_S_score,mean_C_index,mean_MAE,mean_RMSE
A,15,10,115,5.0,1,2,sqrt,31.026604403727145,0.7379141528109362,15.044443193043477,19.407344252530653
A,15,10,115,5.0,1,2,1.0,5.414158391212285,0.8658317494464216,9.951116461326862,14.503163093255683
A,15,10,115,5.0,1,10,sqrt,30.13238911594407,0.7313980772444536,15.513614570921769,19.961705820061745
A,15,10,115,5.0,1,10,1.0,5.414158391212285,0.8658317494464216,9.951116461326862,14.503163093255683
A,15,10,115,5.0,5,2,sqrt,30.103309727131762,0.731820776386363,15.509402183752574,19.95651486410997
A,15,10,115,5.0,5,2,1.0,5.414158391212285,0.8658317494464216,9.951116461326862,14.503163093255683
A,15,10,115,5.0,5,10,sqrt,30.103309727131762,0.731820776386363,15.509402183752574,19.95651486410997
A,15,10,115,5.0,5,10,1.0,5.414158391212285,0.8658317494464216,9.951116461326862,14.503163093255683
A,15,10,115,5.0,10,2,sqrt,19.557682334712247,0.7398404169861463,14.90383772280018,19.226407603434904
A,15,10,115,5.0,10,2,1.0,5.41403637146831,0.8660018597589273,9.944883476651103,14.49816708016598
A,15,10,115,5.0,10,10,sqrt,19.557682334712247,0.7398404169861463,14.90383772280018,19.226407603434904
A,15,10,115,5.0,10,10,1.0,5.41403637146831,0.8660018597589273,9.944883476651103,14.49816708016598
A,15,10,115,10.0,1,2,sqrt,17.977974053760367,0.8290894313198628,11.522261392545772,16.53772386388639
A,15,10,115,10.0,1,2,1.0,8.155041316804052,0.8635449671395741,9.756863521462602,15.371579357284551
A,15,10,115,10.0,1,10,sqrt,11.985077124579567,0.8326223311912946,11.42860198257731,16.359039681238222
A,15,10,115,10.0,1,10,1.0,7.723639753336381,0.8654193358557194,9.735999932369822,15.29048734908071
A,15,10,115,10.0,5,2,sqrt,11.157725452790961,0.8211131662798932,11.98526271956813,16.975468471811148
A,15,10,115,10.0,5,2,1.0,7.0088136270291015,0.8667021510377415,9.610892204332124,15.052512646767903
A,15,10,115,10.0,5,10,sqrt,11.157725452790961,0.8211131662798932,11.98526271956813,16.975468471811148
A,15,10,115,10.0,5,10,1.0,7.0088136270291015,0.8667021510377415,9.610892204332124,15.052512646767903
A,15,10,115,10.0,10,2,sqrt,10.706240725078207,0.8304743858862935,11.534254517349845,16.51055753745602
A,15,10,115,10.0,10,2,1.0,6.43557155669752,0.8686502823605574,9.542179661029763,14.846049864288176
A,15,10,115,10.0,10,10,sqrt,10.706240725078207,0.8304743858862935,11.534254517349845,16.51055753745602
A,15,10,115,10.0,10,10,1.0,6.43557155669752,0.8686502823605574,9.542179661029763,14.846049864288176
A,15,10,115,,1,2,sqrt,22.860033097763033,0.8065094755196599,12.01405655169675,19.745232736742704
A,15,10,115,,1,2,1.0,16.524576617630252,0.8164231927085519,11.136732136792787,18.872961603923617
A,15,10,115,,1,10,sqrt,30.90405747636576,0.8215700700672768,11.55212215331353,18.514314130108346
